"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antiplatelets"
"74096"	3	"Aspirin 50mg/5ml oral suspension"	"Aspirin"	"10mg/1ml"	"Oral suspension"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics/Acute Migraine/Non-Steroidal Anti-Inflammatory Drugs"	"Aspirin"
"67362"	0	"Aspirin 300mg suppositories (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"300mg"	"Suppository"	"Rectal"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"62430"	0	"Aspirin 300mg suppositories (A A H Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Suppository"	"Rectal"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"39738"	834	"Aspirin 162.5mg modified-release capsules"	"Aspirin"	"162.5mg"	"Modified Release Capsules"	"Oral"	"Antiplatelet Products"	"Aspirin"
"55579"	0	"Aspirin 300mg tablets (Almus Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Unknown"	"Aspirin"
"17926"	767	"Aspirin 400mg with Codeine 8mg tablets"	"Aspirin"	"400mg + 8mg"	"Tablets"	"Oral"	"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"Aspirin"
"22618"	213	"Solprin 75mg Tablet (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"80662"	4	"Aspirin 75mg tablets (Medreich Plc)"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"54430"	1	"Aspirin 75mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"85694"	3	"Boots Aspirin 300mg dispersible tablets (The Boots Company Plc)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"67567"	5	"Dipyridamole 100mg/5ml oral solution"	"Dipyridamole"	"20mg/1ml"	"Oral solution"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"2924"	12119	"ASPIRIN 150 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"20206"	3	"ASPIRIN 50 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"Unknown"	"Aspirin"
"24622"	90	"Aspirin 325mg / Caffeine 22mg tablets"	"Aspirin"	"325mg + 22mg"	"Oral tablet"	"Oral"	"Unknown"	"Aspirin"
"714"	2037398	"Dipyridamole 200mg modified-release capsules"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"84784"	7	"Aspirin 300mg dispersible tablets (Mawdsley-Brooks & Company Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"12047"	7172	"Aspellin Ointment (Rpr / Fisons)"	"Aspirin"	NA	"Ointment"	"Topical"	"Topical Nsaids And Counter Irritants"	"Aspirin"
"75916"	2	"Aspirin 100mg/5ml oral suspension"	"Aspirin"	"20mg/1ml"	"Oral suspension"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics/Acute Migraine/Non-Steroidal Anti-Inflammatory Drugs"	"Aspirin"
"19189"	111	"Micropirin 75mg Gastro-resistant tablet (Ratiopharm UK Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"76174"	3	"Dipyridamole 50mg/5ml oral suspension sugar free (Rosemont Pharmaceuticals Ltd)"	"Dipyridamole"	"10mg/1ml"	"Oral suspension"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"85696"	8	"Clopidogrel 75mg tablets (Waymade Healthcare Plc)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"62334"	2	"Aspirin 300mg caplets (Wockhardt UK Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"66546"	0	"Aspirin 75mg dispersible tablets (Numark Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"80777"	13	"Brilique 90mg orodispersible tablets (AstraZeneca UK Ltd)"	"Ticagrelor"	"90mg"	"Orodispersible tablet"	"Oral"	"Antiplatelet Products"	"Ticagrelor"
"54700"	51	"Clopidogrel 75mg tablets (A A H Pharmaceuticals Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
