"medcode"	"Term"	"OriginalReadCode"	"CleansedReadCode"	"Group"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"databaserelease"
"94604"	"[X]Schizophrenic reaction"	"Eu232-4"	"Eu23214"	"other psychosis"	24	0	0	0	"February 2009"
"8407"	"Schizophrenia NOS"	"E10z"	"E10z.00"	"schizophrenia"	21752	0	244	0	"February 2009"
"30985"	"[X]Other nonorganic psychotic disorders"	"Eu2y"	"Eu2y.00"	"other psychosis"	550	0	6	0	"February 2009"
"47947"	"[X]Paraphrenia - late"	"Eu220-3"	"Eu22013"	"other psychosis"	91	0	0	0	"February 2009"
"65127"	"[X]Sensitiver Beziehungswahn"	"Eu220-4"	"Eu22014"	"other psychosis"	9	0	0	0	"February 2009"
"4843"	"[X]Paranoia"	"Eu220-5"	"Eu22015"	"other psychosis"	15432	0	2049	0	"February 2009"
"29651"	"[X]Reactive psychosis"	"Eu23z-2"	"Eu23z12"	"other psychosis"	546	0	20	0	"February 2009"
"31707"	"[X]Brief reactive psychosis NOS"	"Eu23z-1"	"Eu23z11"	"other psychosis"	189	0	2	0	"February 2009"
"49420"	"[X]Other schizophrenia"	"Eu20y"	"Eu20y00"	"schizophrenia"	60	0	1	0	"February 2009"
"70399"	"Other mixed manic-depressive psychoses"	"E11y3"	"E11y300"	"bipolar"	28	0	0	0	"February 2009"
"39316"	"[X]Schizotypal disorder"	"Eu21"	"Eu21.00"	"other psychosis"	333	0	1	0	"February 2009"
"37070"	"Manic disorder, single episode"	"E110"	"E110.00"	"bipolar"	1673	0	13	0	"February 2009"
"16537"	"Other specified non-organic psychoses"	"E1y"	"E1y..00"	"other psychosis"	65	0	2	0	"February 2009"
"15733"	"Unspecified schizophrenia"	"E1000"	"E100000"	"schizophrenia"	4077	0	110	0	"February 2009"
"6325"	"H/O: schizophrenia"	"1464"	"1464.00"	"schizophrenia"	12707	0	580	0	"February 2009"
"11172"	"[X]Paranoid state"	"Eu220-2"	"Eu22012"	"other psychosis"	2444	0	225	0	"February 2009"
"24230"	"Unspecified bipolar affective disorder, in full remission"	"E1176"	"E117600"	"bipolar"	461	0	0	0	"February 2009"
